id,type,address,number,postal_code,municipality,province,location,public,available,hours,full_address,lat,lon
8048,,Parklaan,2.0,9100.0,Sint-Niklaas,Oost-Vlaanderen,,,,,"2.0 Parklaan, Sint-Niklaas, Oost-Vlaanderen, Belgium 9100",51.1592193,4.149875
8049,,Crypte Plein ,,3600.0,Genk,Limburg,,,,," Crypte Plein , Genk, Limburg, Belgium 3600",50.9642704,5.5003072
8050,,Rue Jules Bordet - Zone C ,,7180.0,Seneffe,Hainaut,,,,," Rue Jules Bordet - Zone C , Seneffe, Hainaut, Belgium 7180",50.5086961,4.2622881
8051,,Rue de l Industrie,4.0,1400.0,Nivelles,Brabant Wallon,,,,,"4.0 Rue de l Industrie, Nivelles, Brabant Wallon, Belgium 1400",50.5878535,4.3564561
8052,,Zone du Grand Pré,14.0,7750.0,Amougies,Hainaut,,,,,"14.0 Zone du Grand Pré, Amougies, Hainaut, Belgium 7750",50.7421725,3.5070817
8053,,Rue de la Sablière,4.0,7750.0,Amougies,Hainaut,,,,,"4.0 Rue de la Sablière, Amougies, Hainaut, Belgium 7750",50.7565835,3.5088989
8054,,Heihoekstraat,204.0,9100.0,Nieuwkerken,Oost-Vlaanderen,,,,,"204.0 Heihoekstraat, Nieuwkerken, Oost-Vlaanderen, Belgium 9100",51.1821874,4.1897609
8055,,Rue des Trois Fontaines,12.0,1370.0,Jodoigne,Brabant Wallon,,Y,,,"12.0 Rue des Trois Fontaines, Jodoigne, Brabant Wallon, Belgium 1370",50.710506,4.8556666
8056,,Vaartdijkstraat,3.0,8200.0,Brugge,West-Vlaanderen,,,,,"3.0 Vaartdijkstraat, Brugge, West-Vlaanderen, Belgium 8200",51.1882115,3.2322488
8057,,Rue du Pont,9.0,1380.0,Lasne,Brabant Wallon,,,,,"9.0 Rue du Pont, Lasne, Brabant Wallon, Belgium 1380",50.7022705,4.4994241
8058,,Rue du Fief,4.0,6470.0,Sivry-Rance,Hainaut,,,,,"4.0 Rue du Fief, Sivry-Rance, Hainaut, Belgium 6470",50.1867783,4.1604003
8059,,Rue Des Claires Fontaines,114.0,6180.0,Courcelles,Hainaut,,,,,"114.0 Rue Des Claires Fontaines, Courcelles, Hainaut, Belgium 6180",50.4579498,4.3553238
8060,,Rue Anatole France,1.0,7100.0,La,Hainaut,,,,,"1.0 Rue Anatole France, La, Hainaut, Belgium 7100",50.4800419,4.1891354
8061,,Rue du Bois Bourdon,93.0,7080.0,Frameries,Hainaut,,,,,"93.0 Rue du Bois Bourdon, Frameries, Hainaut, Belgium 7080",50.4000145,3.9101849
8062,,Avenue Gustave Maigret,39.0,7030.0,Saint-Symphorien,Hainaut,,,,,"39.0 Avenue Gustave Maigret, Saint-Symphorien, Hainaut, Belgium 7030",50.4446247,3.9971049
8063,,Chaussée de Roeulx,120.0,7000.0,Mons,Hainaut,,,,,"120.0 Chaussée de Roeulx, Mons, Hainaut, Belgium 7000",50.45791,3.98811
8064,,Chaussée de Roeulx ,63.0,7000.0,Mons,Hainaut,,,,,"63.0 Chaussée de Roeulx , Mons, Hainaut, Belgium 7000",50.45791,3.98811
8065,,Avenue Robert Verzele,8.0,7700.0,Mouscron,Hainaut,,,,,"8.0 Avenue Robert Verzele, Mouscron, Hainaut, Belgium 7700",50.7347341,3.2462014
8066,,Rue Leclercqz,16.0,7760.0,Celles,Hainaut,,,,,"16.0 Rue Leclercqz, Celles, Hainaut, Belgium 7760",50.7042555,3.452981
8067,,Rue des Frères Gabreau,20.0,7880.0,Flobecq,Hainaut,,,,,"20.0 Rue des Frères Gabreau, Flobecq, Hainaut, Belgium 7880",50.7388991,3.7306872
8068,,Rue George Jouret,1.0,7880.0,Flobecq,Hainaut,,,,,"1.0 Rue George Jouret, Flobecq, Hainaut, Belgium 7880",50.7387447,3.7439586
8069,,Place Paul Henri Jouret 15,20.0,7880.0,Flobecq,Hainaut,,,,,"20.0 Place Paul Henri Jouret 15, Flobecq, Hainaut, Belgium 7880",50.7375409,3.7449762
8070,,Chemin des Croix ,99.0,7860.0,Lessines,Hainaut,,,,,"99.0 Chemin des Croix , Lessines, Hainaut, Belgium 7860",50.7015388,3.8291373
8071,,Maastrichtersteenweg,212.0,3770.0,Riemst,Limburg,,,,,"212.0 Maastrichtersteenweg, Riemst, Limburg, Belgium 3770",50.8224227,5.6215465
8072,,Nijverheidslaan,6.0,8890.0,Moorslede,West-Vlaanderen,,,,,"6.0 Nijverheidslaan, Moorslede, West-Vlaanderen, Belgium 8890",50.8464166,3.1079219
8073,,Chaussée de Montgomèry,63.0,7611.0,La,Hainaut,,Y,,,"63.0 Chaussée de Montgomèry, La, Hainaut, Belgium 7611",50.5367032,3.2920484
8074,,Grand Route,,7530.0,Gaurain-Ramecroix,Hainaut,,,,," Grand Route, Gaurain-Ramecroix, Hainaut, Belgium 7530",50.5958457,3.4839456
8075,,Rue de l Essor,4.0,5060.0,Sambreville,Namur,,N,,,"4.0 Rue de l Essor, Sambreville, Namur, Belgium 5060",50.4442814,4.6498317
8076,,Rue de la Vacherie,236.0,5060.0,Sambreville,Namur,,N,,,"236.0 Rue de la Vacherie, Sambreville, Namur, Belgium 5060",50.4435286,4.6493014
8077,,Avenue Zénobe Gramme,36.0,1300.0,Wavre,Brabant Wallon,,,,,"36.0 Avenue Zénobe Gramme, Wavre, Brabant Wallon, Belgium 1300",50.7342522,4.5795639
8078,,Rue du Couvent,50.0,6890.0,Transinne,Luxembourg,,,,,"50.0 Rue du Couvent, Transinne, Luxembourg, Belgium 6890",49.9974966,5.1970384
8079,,Rue de Coquelet,134.0,5000.0,Bouge,Namur,,N,,,"134.0 Rue de Coquelet, Bouge, Namur, Belgium 5000",50.4711999,4.880244
8080,,Avenue Felix Lacourt,198.0,1390.0,Grez-Doiceau,Brabant Wallon,,,,,"198.0 Avenue Felix Lacourt, Grez-Doiceau, Brabant Wallon, Belgium 1390",50.71945,4.72056
8081,,Avenue Bontemps,2.0,1340.0,Ottignies,Brabant Wallon,,Y,,,"2.0 Avenue Bontemps, Ottignies, Brabant Wallon, Belgium 1340",50.6698746,4.5655443
8082,,Chemin d’Oultre-Heure,20.0,6120.0,Ham-sur-Heure,Hainaut,,,,,"20.0 Chemin d’Oultre-Heure, Ham-sur-Heure, Hainaut, Belgium 6120",50.32212029999999,4.3880774
8083,,Kruinstraat,7.0,9160.0,Lokeren,Oost-Vlaanderen,,,,,"7.0 Kruinstraat, Lokeren, Oost-Vlaanderen, Belgium 9160",51.0949974,4.0175273
8084,,Rue du Château,47.0,5564.0,Wanlin,Namur,,,,,"47.0 Rue du Château, Wanlin, Namur, Belgium 5564",50.1576951,5.0652175
8085,,Rue Britannique,17.0,7090.0,Braine-le-Comte,Hainaut,hall principal entrée,,Oui-Ja,,"17.0 Rue Britannique, Braine-le-Comte, Hainaut, Belgium 7090",50.6071584,4.1344493
8086,,Grand Place,4.0,7090.0,Braine-le-Comte,Hainaut,BUREAU ACCUEIL,,Oui-Ja,,"4.0 Grand Place, Braine-le-Comte, Hainaut, Belgium 7090",50.6103999,4.1361955
8087,,Rue d Henripont,145.0,7090.0,Braine-le-Comte,Hainaut,HALL ECOLE (près direction),,Oui-Ja,,"145.0 Rue d Henripont, Braine-le-Comte, Hainaut, Belgium 7090",50.6029319,4.2029278
8088,,Place Aviateur Jean-Croquet,,7090.0,Braine-le-Comte,Hainaut,BATIMENT ANCIENNE COMMUNE,,Oui-Ja,," Place Aviateur Jean-Croquet, Braine-le-Comte, Hainaut, Belgium 7090",50.597224,4.1846551
8089,,Rue du Planois,83.0,7090.0,Braine-le-Comte,Hainaut,HALL ENTREE PRINCIPALE,,N,,"83.0 Rue du Planois, Braine-le-Comte, Hainaut, Belgium 7090",50.6359717,4.1782931
8090,,Rue de Turenne,4.0,7090.0,Braine-le-Comte,Hainaut,rdc-hall,,N,,"4.0 Rue de Turenne, Braine-le-Comte, Hainaut, Belgium 7090",50.64106,4.0675246
8091,,Rue des Dominicains,,7090.0,Braine-le-Comte,Hainaut,hall principal,,N,," Rue des Dominicains, Braine-le-Comte, Hainaut, Belgium 7090",50.6098325,4.136051
8092,,Rue Douffet,82.0,4020.0,Liège,Liège,HALL ECOLE (près direction),Y,N,,"82.0 Rue Douffet, Liège, Liège, Belgium 4020",50.6355317,5.5847029
8093,,Rue Andernack,2.0,4670.0,Trembleur,Liège,,,,,"2.0 Rue Andernack, Trembleur, Liège, Belgium 4670",50.6918208,5.7253615
8094,,Rue de la Digue,162.0,4683.0,Vivegnis,Liège,,,,,"162.0 Rue de la Digue, Vivegnis, Liège, Belgium 4683",50.6924627,5.6540205
8095,,Groenenborgerlaan,110.0,2610.0,Wilrijk,Antwerpen,,,,,"110.0 Groenenborgerlaan, Wilrijk, Antwerpen, Belgium 2610",51.175984,4.4128605
8096,,Rue Joseph Dupont,73.0,4053.0,Chaudefontaine,Liège,,,,,"73.0 Rue Joseph Dupont, Chaudefontaine, Liège, Belgium 4053",50.6007881,5.6075913
8097,,Avenue du Monument,25.0,6900.0,Marche-en-Famenne,Luxembourg,,,,,"25.0 Avenue du Monument, Marche-en-Famenne, Luxembourg, Belgium 6900",50.2239004,5.3412179
8098,,Eugène Flageyplein ,18.0,1050.0,Brussel,Bruxelles-Brussel,,,,,"18.0 Eugène Flageyplein , Brussel, Bruxelles-Brussel, Belgium 1050",50.8283179,4.3726151
8099,,Haut de Trême (Z.I),1.0,4801.0,Stembert,Liège,,Y,,,"1.0 Haut de Trême (Z.I), Stembert, Liège, Belgium 4801",50.5975952,5.9011027
8100,,Chaussée de Liège,157.0,4460.0,Grâce-Hollogne,Liège,,,,,"157.0 Chaussée de Liège, Grâce-Hollogne, Liège, Belgium 4460",50.6501586,5.4737364
8101,,Morkhovenseweg ,139.0,2200.0,Herentals,Antwerpen,,,,,"139.0 Morkhovenseweg , Herentals, Antwerpen, Belgium 2200",51.13018,4.83053
8102,,Ring,26.0,2200.0,Herentals,Antwerpen,,,,,"26.0 Ring, Herentals, Antwerpen, Belgium 2200",51.1388441,4.8382946
8103,,Rijmakerlaan,34.0,2910.0,Essen,Antwerpen,,,,,"34.0 Rijmakerlaan, Essen, Antwerpen, Belgium 2910",51.4406708,4.464856
8104,,Parc Industriel,1.0,4671.0,Barchon,Liège,,,,,"1.0 Parc Industriel, Barchon, Liège, Belgium 4671",50.66866,5.69992
8105,,Rue de Maestricht,43.0,4651.0,Battice,Liège,,,,,"43.0 Rue de Maestricht, Battice, Liège, Belgium 4651",50.6610407,5.7862934
8106,,Kardinaal Mercierlaan,46.0,3001.0,Heverlee,Vlaams-Brabant,,,,,"46.0 Kardinaal Mercierlaan, Heverlee, Vlaams-Brabant, Belgium 3001",50.8662448,4.6943356
8107,,Kuurstraat,8.0,3600.0,Genk,Limburg,,,,,"8.0 Kuurstraat, Genk, Limburg, Belgium 3600",50.954142,5.4224446
8108,,Chemin de Corbisier,4.0,7060.0,Soignies,Hainaut,,Y,,,"4.0 Chemin de Corbisier, Soignies, Hainaut, Belgium 7060",50.5875121,4.0728834
8109,,Rue de l Industrie,,7320.0,Bernissart,Hainaut,,Y,,," Rue de l Industrie, Bernissart, Hainaut, Belgium 7320",50.4836453,3.6999058
8110,,Rue Saint-Patrice,,7110.0,Houdeng-Goegnies,Hainaut,,Y,,," Rue Saint-Patrice, Houdeng-Goegnies, Hainaut, Belgium 7110",50.4722333,4.1546854
8111,,Rue Neuve,,1000.0,Bruxelles,Bruxelles-Brussel,,Y,,," Rue Neuve, Bruxelles, Bruxelles-Brussel, Belgium 1000",50.8527348,4.3559377
8112,,Vaartstraat,90.0,9270.0,Kalken,Oost-Vlaanderen,,y,,,"90.0 Vaartstraat, Kalken, Oost-Vlaanderen, Belgium 9270",51.0339793,3.9120625
8113,,Cours Henri Spaak,1.0,1200.0,Bruxelles,Bruxelles-Brussel,,y,,,"1.0 Cours Henri Spaak, Bruxelles, Bruxelles-Brussel, Belgium 1200",50.8821224,4.3429696
8114,,Rue A. Vanderkindere,27.0,1080.0,Bruxelles,Bruxelles-Brussel,,y,,,"27.0 Rue A. Vanderkindere, Bruxelles, Bruxelles-Brussel, Belgium 1080",50.850562,4.3292285
8115,,Rue de l intendant,126.0,1081.0,Bruxelles,Bruxelles-Brussel,,y,,,"126.0 Rue de l intendant, Bruxelles, Bruxelles-Brussel, Belgium 1081",50.8619621,4.339794
8116,,Liersesteenweg,15.0,2640.0,Morstel,Antwerpen,,y,,,"15.0 Liersesteenweg, Morstel, Antwerpen, Belgium 2640",51.1686541,4.4705622
8117,,Rue des écoles,3.0,4210.0,Burdinne,Liège,,y,,,"3.0 Rue des écoles, Burdinne, Liège, Belgium 4210",50.5838803,5.0741099
8118,,Rue Lambert Daxhelet,2.0,4210.0,Burdinne,Liège,,y,,,"2.0 Rue Lambert Daxhelet, Burdinne, Liège, Belgium 4210",50.5848154,5.1483091
8119,,Beukelstraat,21.0,8650.0,Houthulst,West-Vlaanderen,,N,,,"21.0 Beukelstraat, Houthulst, West-Vlaanderen, Belgium 8650",50.9912455,2.9553845
8120,,Kloveniersgang 6/Sint Antoniuskaai,28.0,9000.0,Gent,Oost-Vlaanderen,,y,,,"28.0 Kloveniersgang 6/Sint Antoniuskaai, Gent, Oost-Vlaanderen, Belgium 9000",51.05954209999999,3.7176327
8121,,Edige Walschaertsstraat,7.0,2800.0,Mechelen,Antwerpen,,Y,,,"7.0 Edige Walschaertsstraat, Mechelen, Antwerpen, Belgium 2800",51.0083408,4.4559709
8122,,Chaussée de Tubize,297.0,1420.0,Braine-l Alleud,Brabant Wallon,,Y,,,"297.0 Chaussée de Tubize, Braine-l Alleud, Brabant Wallon, Belgium 1420",50.6938768,4.3329478
8123,,Avenue Robert Schuman ,181.0,1401.0,Baulers,Brabant Wallon,,Y,,,"181.0 Avenue Robert Schuman , Baulers, Brabant Wallon, Belgium 1401",50.6237487,4.327004
8124,,Boulevard Baudoin 1er,25.0,1348.0,Louvain-la-Neuve,Brabant Wallon,,y,,,"25.0 Boulevard Baudoin 1er, Louvain-la-Neuve, Brabant Wallon, Belgium 1348",50.6643019,4.6208345
8125,,Avenue Adèle,1.0,1310.0,La hulpe,Brabant Wallon,,y,,,"1.0 Avenue Adèle, La hulpe, Brabant Wallon, Belgium 1310",50.7348547,4.4816709
8126,,Rue Belliard,65.0,1040.0,Bruxelles,Bruxelles-Brussel,,Y,,,"65.0 Rue Belliard, Bruxelles, Bruxelles-Brussel, Belgium 1040",50.8409653,4.3758252
8127,,Route Saint-Quoilin,50.0,6971.0,Tenneville,Luxembourg,,Y,,,"50.0 Route Saint-Quoilin, Tenneville, Luxembourg, Belgium 6971",50.1000285,5.5068985
8128,,Wetenschapspark,33.0,3590.0,Diepenbeek,Limburg,,Y,,,"33.0 Wetenschapspark, Diepenbeek, Limburg, Belgium 3590",50.9311452,5.3945521
8129,,Hermeslaan,2.0,1831.0,Machelen,Vlaams-Brabant,,Y,,,"2.0 Hermeslaan, Machelen, Vlaams-Brabant, Belgium 1831",50.8819608,4.441951
8130,,Boulevard Du Roi Albert,1.0,7500.0,Tournai,Hainaut,,Y,,,"1.0 Boulevard Du Roi Albert, Tournai, Hainaut, Belgium 7500",50.6005076,3.3934199
8131,,Rue de La Halle,5.0,6560.0,Solre-Sur-Sambre,Hainaut,,Y,,,"5.0 Rue de La Halle, Solre-Sur-Sambre, Hainaut, Belgium 6560",50.3069014,4.1540805
8132,,Baaigemstraat,154.0,9890.0,Gavere,Oost-Vlaanderen,,Y,,,"154.0 Baaigemstraat, Gavere, Oost-Vlaanderen, Belgium 9890",50.93058,3.6986816
8133,,Av Toison d Or,72.0,1060.0,Brussel,Bruxelles-Brussel,,N,,,"72.0 Av Toison d Or, Brussel, Bruxelles-Brussel, Belgium 1060",50.8357771,4.3554936
8134,,Slakweidestraat,35.0,3630.0,Maasmechelen,Limburg,,Y,,,"35.0 Slakweidestraat, Maasmechelen, Limburg, Belgium 3630",50.9467339,5.702877
8135,,Rue Saint Quentin,14.0,5590.0,Ciney,Namur,,Y,,,"14.0 Rue Saint Quentin, Ciney, Namur, Belgium 5590",50.2994321,5.0979944
8136,,Avenue de Namur,63.0,5590.0,Ciney,Namur,,Y,,,"63.0 Avenue de Namur, Ciney, Namur, Belgium 5590",50.3053144,5.0981208
8137,,Rue des Deux Eglises ,16.0,4120.0,Neupré,Liège,,Y,,,"16.0 Rue des Deux Eglises , Neupré, Liège, Belgium 4120",50.5373054,5.4799794
8138,,Chaussée de Marche,75.0,4121.0,Neuville,Liège,,Y,,,"75.0 Chaussée de Marche, Neuville, Liège, Belgium 4121",50.5487059,5.4474548
8139,,Rue Richer,1.0,4122.0,Neuville,Liège,,Y,,,"1.0 Rue Richer, Neuville, Liège, Belgium 4122",50.63295859999999,5.569749799999999
8140,,Rue Richer,4.0,4122.0,Neuville,Liège,,Y,,,"4.0 Rue Richer, Neuville, Liège, Belgium 4122",50.63295859999999,5.569749799999999
8141,,Rue du Centre,48.0,4122.0,Plainevaux,Liège,,Y,,,"48.0 Rue du Centre, Plainevaux, Liège, Belgium 4122",50.544236,5.5206037
8142,,Rue de la Moselle,1.0,6700.0,Arlon,Luxembourg,,Y,,,"1.0 Rue de la Moselle, Arlon, Luxembourg, Belgium 6700",49.67772,5.8132998
8143,,Place de la Mutualité,1.0,6870.0,Saint,Luxembourg,,Y,,,"1.0 Place de la Mutualité, Saint, Luxembourg, Belgium 6870",50.0294745,5.3781148
8144,,Rue des Ecoles,16.0,6724.0,Houdemont,Luxembourg,,Y,,,"16.0 Rue des Ecoles, Houdemont, Luxembourg, Belgium 6724",49.7130737,5.5977283
8145,,Place de Petit Roeulx ,3.0,7180.0,Seneffe,Hainaut,,Y,,,"3.0 Place de Petit Roeulx , Seneffe, Hainaut, Belgium 7180",50.5537453,4.3132159
8146,,Rue Ferrer,32.0,7180.0,Seneffe,Hainaut,,Y,,,"32.0 Rue Ferrer, Seneffe, Hainaut, Belgium 7180",50.5204792,4.2041836
8147,,Rue Lintermans,21.0,7180.0,Seneffe,Hainaut,,Y,,,"21.0 Rue Lintermans, Seneffe, Hainaut, Belgium 7180",50.5297494,4.2575594
8148,,Exelsiorlaan,55.0,1930.0,Zaventem,Vlaams-Brabant,,Y,,,"55.0 Exelsiorlaan, Zaventem, Vlaams-Brabant, Belgium 1930",50.8834023,4.4550205
8149,,Luchthaven Brussel Nationaal ,,1930.0,Zaventem,Vlaams-Brabant,,Y,,," Luchthaven Brussel Nationaal , Zaventem, Vlaams-Brabant, Belgium 1930",50.898847,4.4833083
8150,,Industriezone/corremannekens,12.0,9200.0,Dendermonde,Oost-Vlaanderen,,Y,,,"12.0 Industriezone/corremannekens, Dendermonde, Oost-Vlaanderen, Belgium 9200",51.0345504,4.098967399999999
8151,,Poortakkerstraat,129.0,9051.0,Sint-Denijs-Westrem,Oost-Vlaanderen,,N,,,"129.0 Poortakkerstraat, Sint-Denijs-Westrem, Oost-Vlaanderen, Belgium 9051",51.0272083,3.6851527
8152,,Poortakkerstraat,127.0,9051.0,Sint-Denijs-Westrem,Oost-Vlaanderen,,N,,,"127.0 Poortakkerstraat, Sint-Denijs-Westrem, Oost-Vlaanderen, Belgium 9051",51.0272083,3.6851527
8153,,Poortakkerstraat,131.0,9051.0,Sint-Denijs-Westrem,Oost-Vlaanderen,,N,,,"131.0 Poortakkerstraat, Sint-Denijs-Westrem, Oost-Vlaanderen, Belgium 9051",51.0272083,3.6851527
8154,,Industrielaan,15.0,9900.0,Eeklo,Oost-Vlaanderen,,N,,,"15.0 Industrielaan, Eeklo, Oost-Vlaanderen, Belgium 9900",51.1821977,3.5409889
8155,,Industrielaan,8.0,9660.0,Brakel,Oost-Vlaanderen,,N,,,"8.0 Industrielaan, Brakel, Oost-Vlaanderen, Belgium 9660",50.7934542,3.7584212
8156,,Industrielaan Zuid III,26.0,9320.0,Erembodegem,Oost-Vlaanderen,,N,,,"26.0 Industrielaan Zuid III, Erembodegem, Oost-Vlaanderen, Belgium 9320",50.91283,4.042190000000001
8157,,Industrielaan Zuid III,24.0,9320.0,Erembodegem,Oost-Vlaanderen,,N,,,"24.0 Industrielaan Zuid III, Erembodegem, Oost-Vlaanderen, Belgium 9320",50.91283,4.042190000000001
8158,,Oostjachtpark,8.0,9100.0,Sint-Niklaas,Oost-Vlaanderen,,N,,,"8.0 Oostjachtpark, Sint-Niklaas, Oost-Vlaanderen, Belgium 9100",51.1434427,4.1740289
8159,,Industrieweg,2.0,9032.0,Wondelgem,Oost-Vlaanderen,,N,,,"2.0 Industrieweg, Wondelgem, Oost-Vlaanderen, Belgium 9032",51.0940807,3.7004814
8160,,Burg. Van Crombrugghelaan,7.0,9850.0,Deinze,Oost-Vlaanderen,,Y,,,"7.0 Burg. Van Crombrugghelaan, Deinze, Oost-Vlaanderen, Belgium 9850",51.0123613,3.5882751
8161,,Stationsstraat,68.0,8540.0,Derlijk,West-Vlaanderen,,Y,,,"68.0 Stationsstraat, Derlijk, West-Vlaanderen, Belgium 8540",50.8432227,3.3502027
8162,,Geallieerdenlaan,270.0,7700.0,Moeskroen,Hainaut,,Y,,,"270.0 Geallieerdenlaan, Moeskroen, Hainaut, Belgium 7700",50.7469087,3.2298448
8163,,Stationsstraat,233.0,8540.0,Derlijk,West-Vlaanderen,,Y,,,"233.0 Stationsstraat, Derlijk, West-Vlaanderen, Belgium 8540",50.8432227,3.3502027
8164,,Grote Markt,24.0,9100.0,Sint-Niklaas,Oost-Vlaanderen,,Y,,,"24.0 Grote Markt, Sint-Niklaas, Oost-Vlaanderen, Belgium 9100",51.164203,4.1389887
8165,,Grote Markt,61.0,9100.0,Sint-Niklaas,Oost-Vlaanderen,,Y,,,"61.0 Grote Markt, Sint-Niklaas, Oost-Vlaanderen, Belgium 9100",51.164203,4.1389887
8166,,Oudstrijderslaan,190.0,1140.0,Brussel,Bruxelles-Brussel,,Y,,,"190.0 Oudstrijderslaan, Brussel, Bruxelles-Brussel, Belgium 1140",50.8650792,4.4093699
8167,,Dreef Ter Panne ,14.0,8000.0,Brugge,West-Vlaanderen,,Y,,,"14.0 Dreef Ter Panne , Brugge, West-Vlaanderen, Belgium 8000",51.2311877,3.2277506
8168,,Ingelmunstersteenweg,,8760.0,Meulebeke,West-Vlaanderen,,Y,,," Ingelmunstersteenweg, Meulebeke, West-Vlaanderen, Belgium 8760",50.9444025,3.2766949
8169,,Rue de la Croix de Fer,67.0,1000.0,Bruxelles,Bruxelles-Brussel,,N,,,"67.0 Rue de la Croix de Fer, Bruxelles, Bruxelles-Brussel, Belgium 1000",50.8482988,4.3657999
8170,,Technologiepark,94.0,9052.0,Zwijnaarde,Oost-Vlaanderen,,Y,,,"94.0 Technologiepark, Zwijnaarde, Oost-Vlaanderen, Belgium 9052",51.0100414,3.7097105
8171,,Ommegang West ,9.0,8840.0,Westrozebeke,West-Vlaanderen,,Y,,,"9.0 Ommegang West , Westrozebeke, West-Vlaanderen, Belgium 8840",50.9306825,3.0068735
8172,,Kleine Kloosterstraat ,8.0,1932.0,St.,Vlaams-Brabant,Woluwe,Y,,,"8.0 Kleine Kloosterstraat , St., Vlaams-Brabant, Belgium 1932",50.87171,4.46087
8173,,Kleine Kloosterstraat ,6.0,1932.0,St.,Vlaams-Brabant,Woluwe,Y,,,"6.0 Kleine Kloosterstraat , St., Vlaams-Brabant, Belgium 1932",50.87171,4.46087
8174,,Vilvoordsesteenweg,70.0,1120.0,Brussel,Bruxelles-Brussel,,Y,,,"70.0 Vilvoordsesteenweg, Brussel, Bruxelles-Brussel, Belgium 1120",50.8941631,4.3982083
8175,,Wellingstraat,102.0,9070.0,Destelbergen,Oost-Vlaanderen,,Y,,,"102.0 Wellingstraat, Destelbergen, Oost-Vlaanderen, Belgium 9070",51.0164122,3.8047572
8176,,St. Annastraat,69.0,3560.0,Lummen,Limburg,,Y,,,"69.0 St. Annastraat, Lummen, Limburg, Belgium 3560",50.9921805,5.1466604
8177,,Hoogstraat,83.0,3560.0,Lummen,Limburg,,Y,,,"83.0 Hoogstraat, Lummen, Limburg, Belgium 3560",51.0013636,5.1929818
8178,,Grand Place,,7000.0,Mons,Hainaut,,y,,," Grand Place, Mons, Hainaut, Belgium 7000",50.4545097,3.9525536
8179,,Rue de l Etang,151.0,6042.0,Lodelinsart,Hainaut,,Y,,,"151.0 Rue de l Etang, Lodelinsart, Hainaut, Belgium 6042",50.4354797,4.4488073
8180,,Rue A. Defulsseaux,37.0,6001.0,Marcinelle,Hainaut,,Y,,,"37.0 Rue A. Defulsseaux, Marcinelle, Hainaut, Belgium 6001",50.3894469,4.4424884
8181,,Rue de la Maitrise ,11.0,1400.0,Nivelles,Brabant Wallon,,N,,,"11.0 Rue de la Maitrise , Nivelles, Brabant Wallon, Belgium 1400",50.5823835,4.3578662
8182,,Boulevard de la Dodaine,50.0,1400.0,Nivelles,Brabant Wallon,,Y,,,"50.0 Boulevard de la Dodaine, Nivelles, Brabant Wallon, Belgium 1400",50.5944951,4.3236706
8183,,Rue du Vélodrome,3.0,4621.0,Rétinne,Liège,,Y,,,"3.0 Rue du Vélodrome, Rétinne, Liège, Belgium 4621",50.6274125,5.6955085
8184,,Bodemstraat,11.0,3830.0,Wellen,Limburg,,N,,,"11.0 Bodemstraat, Wellen, Limburg, Belgium 3830",50.8595022,5.3295203
8185,,Koning Albert II Laan,32.0,1000.0,Brussel,Bruxelles-Brussel,6de verdieping Allianz toren,Y,,,"32.0 Koning Albert II Laan, Brussel, Bruxelles-Brussel, Belgium 1000",50.8607832,4.3573496
8186,,Merestraat,169.0,9300.0,aalst,Oost-Vlaanderen,,Y,,,"169.0 Merestraat, aalst, Oost-Vlaanderen, Belgium 9300",50.9366639,4.0177083
8187,,Achterbroeksteenweg,219.0,2920.0,Kalmthout,Antwerpen,,Y,,,"219.0 Achterbroeksteenweg, Kalmthout, Antwerpen, Belgium 2920",51.3953959,4.4869987
8188,,Kerkeneind,10.0,2920.0,Kalmthout,Antwerpen,,Y,,,"10.0 Kerkeneind, Kalmthout, Antwerpen, Belgium 2920",51.3823839,4.4766406
8189,,Vogelenzangstraat,10.0,2920.0,Kalmthout,Antwerpen,,Y,,,"10.0 Vogelenzangstraat, Kalmthout, Antwerpen, Belgium 2920",51.3832308,4.4632472
8190,,Heidestatieplein,,2920.0,Kalmthout,Antwerpen,,Y,,," Heidestatieplein, Kalmthout, Antwerpen, Belgium 2920",51.3652656,4.4598448
8191,,Heuvel,16.0,2920.0,Kalmthout,Antwerpen,,Y,,,"16.0 Heuvel, Kalmthout, Antwerpen, Belgium 2920",51.3896131,4.4619145
8192,,Nieuwmoer-Dorp,10.0,2920.0,Kalmthout,Antwerpen,,Y,,,"10.0 Nieuwmoer-Dorp, Kalmthout, Antwerpen, Belgium 2920",51.4321137,4.5144203
8193,,Poortakkerstraat,7.0,9051.0,Gent,Oost-Vlaanderen,,Y,,,"7.0 Poortakkerstraat, Gent, Oost-Vlaanderen, Belgium 9051",51.0272083,3.6851527
8194,,Albert I Laaan,54.0,8630.0,Veurne,West-Vlaanderen,,Y,,,"54.0 Albert I Laaan, Veurne, West-Vlaanderen, Belgium 8630",51.0638277,2.6802701
8195,,Lindestraat,36.0,9700.0,Oudenaarde,Oost-Vlaanderen,,Y,,,"36.0 Lindestraat, Oudenaarde, Oost-Vlaanderen, Belgium 9700",50.855913,3.6053801
8196,,Booiebos,4.0,9031.0,Drongen,Oost-Vlaanderen,,Y,,,"4.0 Booiebos, Drongen, Oost-Vlaanderen, Belgium 9031",51.0405797,3.5990304
8197,,Landwaartslaan,99.0,3600.0,Genk,Limburg,,Y,,,"99.0 Landwaartslaan, Genk, Limburg, Belgium 3600",50.9654924,5.4489846
